COMID,CAT_WDJAN,CAT_WDFEB,CAT_WDMAR,CAT_WDAPR,CAT_WDMAY,CAT_WDJUN,CAT_WDJUL,CAT_WDAUG,CAT_WDSEP,CAT_WDOCT,CAT_WDNOV,CAT_WDDEC,NODATA,filename
3917284,8.09,7.09,8.09,6.09,5.09,4,2,3,3,5.09,8.09,10,0,WD6190_CAT_CONUS.zip
3917286,8,7,8,6,5,4,2,3,3,5,8,10,0,WD6190_CAT_CONUS.zip
3917912,10,8.59,10.2,7.2,6.2,5,2,3,3,6,10.59,11.59,0,WD6190_CAT_CONUS.zip
3917914,8.02,7.02,8.02,5.73,6,5,2,3,3,5.02,9.03,9.37,0,WD6190_CAT_CONUS.zip
3917916,8.95,7.95,8.95,6.37,6.21,5,2,3,3,5.74,9.95,10.32,0,WD6190_CAT_CONUS.zip
3917918,9.31,8.09,9.45,7,6,4.74,2,3,3,6,10.04,10.4,0,WD6190_CAT_CONUS.zip
3917920,9,8,9,7,6,4.46,2,3,3,6,9.67,10.12,0,WD6190_CAT_CONUS.zip
3917922,8.97,7.51,8.51,6.51,5.97,4.97,2,2.97,3,6,9.08,10.11,0,WD6190_CAT_CONUS.zip
3917946,8,6.15,7.26,6,5,4,2,2.02,3,5,8,9,0,WD6190_CAT_CONUS.zip
3917948,8.01,6.6,7.6,6.01,5.01,4.01,2,2.58,3,5.59,8.58,10,0,WD6190_CAT_CONUS.zip
3917950,8,6,7,6,5,4,2,2,3,5.03,8,9.14,0,WD6190_CAT_CONUS.zip
3917956,10.44,9,10.06,7.08,6.5,5,2,3,3.49,6.76,10.77,11.99,0,WD6190_CAT_CONUS.zip
3917958,9.34,9,10.61,7.66,6,5,2,3,3,6.94,10.62,11.96,0,WD6190_CAT_CONUS.zip
3917960,9.02,9,10.96,7.98,6,5,2,3,3,6.4,10.97,11.97,0,WD6190_CAT_CONUS.zip
948010089,9,8,9,7,6,5,2,3,3,6,9,10,0,WD6190_CAT_CONUS.zip
