fname,size,size_mb,url
PPT1961_ANN_CONUS.zip,20551890,20.55189,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__fd%2F8d%2Ffd%2Ffd8dfd8bfaacfc5498bb52f0667f72e7bb59e4ed
PPT1947_ANN_CONUS.zip,20337137,20.337137,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__4b%2F2c%2F69%2F4b2c69b62c3e1bd1363afb0fde0b0bfb3b552555
PPT1960_ANN_CONUS.zip,20376118,20.376117999999998,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__a1%2Fa5%2F6c%2Fa1a56cd07927d8ee493044294e82f6a5c5a67dfd
PPT1962_ANN_CONUS.zip,20438757,20.438757,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__43%2F9d%2F6f%2F439d6f48db9949c6437a82e53999dd211a45eba6
PPT1954_ANN_CONUS.zip,20268361,20.268361,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__3b%2Fac%2Fc1%2F3bacc1e6859877b52a683cc960cb169d525bdefb
PPT1951_ANN_CONUS.zip,20579585,20.579584999999998,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__72%2F26%2F38%2F722638a23cb59e177774253b921dd9068d8762e3
PPT1968_ANN_CONUS.zip,20507427,20.507427,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__92%2F59%2Fe1%2F9259e10cfee13a91ddc8d498175ad20171ab7b18
PPT1956_ANN_CONUS.zip,20223034,20.223034,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__2e%2F75%2Fd5%2F2e75d53fb79a47722457f0e82a30927b374b6367
PPT1959_ANN_CONUS.zip,20537943,20.537943,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__e6%2F47%2Ff0%2Fe647f015e0bfe4b5d6cec4f9be7c77476ef465f8
PPT1964_ANN_CONUS.zip,20562198,20.562198,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__be%2Fe4%2F10%2Fbee410d3d2aaebde79a84e95bde9a111238ca52c
PPT1971_ANN_CONUS.zip,20515613,20.515613,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__67%2F5b%2Fc5%2F675bc52128fabd19f3ad9d8ac93f65c8db689258
PPT1970_ANN_CONUS.zip,20531567,20.531567,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__f5%2F78%2F20%2Ff578200b173dd263e704fe27d897600ac45709a3
PPT1952_ANN_CONUS.zip,20299423,20.299422999999997,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__db%2Fb5%2F4a%2Fdbb54a6447e9cfa9c13baf04bd36bbd3c8970885
PPT1946_ANN_CONUS.zip,20562998,20.562998,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__12%2F8b%2F9e%2F128b9ec0ebec2bbd5473408928f6152fea8da823
PPT1976_ANN_CONUS.zip,20221507,20.221507,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__79%2F4f%2F6a%2F794f6ad15ef340968a6ca5e4dda6e15720c3d8af
PPT1978_ANN_CONUS.zip,20517547,20.517547,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__3b%2F25%2F41%2F3b254174b4f0193fa25e2ff54adf55545956adf9
PPT1974_ANN_CONUS.zip,20510034,20.510033999999997,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__30%2Fa7%2F3a%2F30a73aa13e757d0e267cf220123e965c3d4ff5d1
PPT1966_ANN_CONUS.zip,20330516,20.330516,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__24%2Ff1%2Fe1%2F24f1e154508e8e87a269c15a8f312462d3e06692
PPT2003_ANN_CONUS.zip,20295661,20.295661,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__ed%2F30%2F8f%2Fed308f5d52454bc866e1271c79216589b8d7e0e9
PPT1969_ANN_CONUS.zip,20646644,20.646644,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__0e%2F27%2F85%2F0e2785ae7ea260fba91ad101589c9bb986ea14c1
PPT1953_ANN_CONUS.zip,20298846,20.298845999999998,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__2a%2F14%2Fc1%2F2a14c121bb9d3a619b83e2ce8b689c3ff7cdc6a3
PPT1986_ANN_CONUS.zip,20652596,20.652596,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__ae%2F96%2Fa1%2Fae96a1b7cea903950b127222301e93b407b548be
PPT1977_ANN_CONUS.zip,20623828,20.623828,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__d8%2F06%2F72%2Fd8067229e0c82aacfb3f0594da239a47c06fe475
PPT1989_ANN_CONUS.zip,20372376,20.372376,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__ad%2Fc8%2F5b%2Fadc85b9fd86f065687b821f3c38908d7be41db6e
PPT1983_ANN_CONUS.zip,20777189,20.777189,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__7a%2Fa1%2F13%2F7aa1139199e9f0d3e72cb3abe99c6688630f9a15
PPT1973_ANN_CONUS.zip,20775940,20.77594,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__21%2F9e%2F3e%2F219e3ed1781602190e448c22aa0725f37d4f7400
PPT1982_ANN_CONUS.zip,20777085,20.777085,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__c1%2F70%2F0f%2Fc1700f098145e49b873334404479cacdc5c57f7c
PPT1995_ANN_CONUS.zip,20691148,20.691148,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__58%2Fff%2F71%2F58ff71e1e8d97f264e930c31009df04583d8ff2b
PPT1980_ANN_CONUS.zip,20403112,20.403112,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__24%2F35%2Fe4%2F2435e4f1608f1bc0d573f08086fd99c31eca8bce
PPT1963_ANN_CONUS.zip,20241388,20.241388,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__7b%2F59%2F2b%2F7b592b66a9653eb6f7c62ae8104ad8e30a1ed531
PPT1958_ANN_CONUS.zip,20523028,20.523028,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__b9%2Feb%2Fba%2Fb9ebbac47a2c41a24141a70e294398b3b35f12c8
PPT1955_ANN_CONUS.zip,20403367,20.403367,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__9d%2F71%2Fa4%2F9d71a4faf079c2bbac4dc807d616afcb3133ad25
PPT1994_ANN_CONUS.zip,20546292,20.546291999999998,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__74%2F7c%2F30%2F747c3001026fe14dee092f77cdae19b341a44c54
PPT1984_ANN_CONUS.zip,20581547,20.581547,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__b3%2Fab%2F71%2Fb3ab71c284bfba3d5b3e36638f8446a6bdb04637
PPT1987_ANN_CONUS.zip,20473162,20.473162,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__48%2Ffa%2F70%2F48fa707764f0e15edb9318476993c15a31549465
PPT2009_ANN_CONUS.zip,20227304,20.227304,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__61%2Fd0%2F69%2F61d0696615bfb9b86c58dd46d2b37a46954f4326
PPT1991_ANN_CONUS.zip,20635091,20.635091,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__88%2F07%2F10%2F8807103e85dc1ef6c98cca67361094ac8cfb578d
PPT1992_ANN_CONUS.zip,20526833,20.526833,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__33%2Fbb%2F14%2F33bb1478c514d80c377bd4a45debd3a6f9a637dd
PPT1981_ANN_CONUS.zip,20502238,20.502238,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__d1%2F7f%2F24%2Fd17f24e2ed743f70252fc112a7285193349cc21f
PPT1998_ANN_CONUS.zip,20546079,20.546079,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__32%2Fa8%2F88%2F32a8887114240d453d888e93b805575c82b9a08c
PPT1975_ANN_CONUS.zip,20655651,20.655651,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__46%2Fb9%2F85%2F46b985aedfc8b64beac94b4a87e5374dcc2973c6
PPT1972_ANN_CONUS.zip,20571162,20.571161999999998,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__24%2F64%2F77%2F246477378c2e83afad486cec571107e08a48360e
PPT2002_ANN_CONUS.zip,20198598,20.198598,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__c8%2F87%2Fac%2Fc887ac438b2a0fb9b32d34c01857b7793e1f84a6
PPT1990_ANN_CONUS.zip,20607676,20.607675999999998,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__6c%2F9d%2F4d%2F6c9d4d5d04586400d277fa72e5550c29d6f93bef
PPT2007_ANN_CONUS.zip,20079108,20.079107999999998,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__5a%2F8e%2F3c%2F5a8e3c734ff546d7d1c7312c014a3851bb126690
PPT1965_ANN_CONUS.zip,20528313,20.528313,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__6c%2Ffd%2F8a%2F6cfd8a81449774521f3fa3859c29bdd5e7b4c6c3
PPT1993_ANN_CONUS.zip,20661448,20.661448,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__07%2F6f%2F09%2F076f0993a3c317166c7b165797c83a8b88100430
PPT2006_ANN_CONUS.zip,20092700,20.0927,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__c3%2F19%2F89%2Fc31989e5b5e1a313be8a366118c21b1ef7a4ea32
PPT2014_ANN_CONUS.zip,20211114,20.211114,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__ba%2F30%2Fe1%2Fba30e14119b2fc77668d678394ed5041b1b7b6ab
